"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SplatoonNA: The Squid Sisters are staying fresh! #Splatoon https://t.co/mA1YQGTAPs https://t.co/ckL3RU9b3h https://t.co/FVB2vwCb39",FALSE,0,NA,2017-12-18 00:24:18,FALSE,NA,"942551058194169858",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hikalin00495",286,TRUE,FALSE,NA,NA
"2","RT @LouWaldo: Giveaway prize for @squiiiddo ‚ú®
[ #Splatoon ] https://t.co/hRFxbJdWKI",FALSE,0,NA,2017-12-18 00:14:58,FALSE,NA,"942548707681193984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeberEber",20,TRUE,FALSE,NA,NA
"3","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-18 00:02:35,FALSE,NA,"942545594345762817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","milkiemango",397,TRUE,FALSE,NA,NA
"4","RT @LouWaldo: Giveaway prize for @squiiiddo ‚ú®
[ #Splatoon ] https://t.co/hRFxbJdWKI",FALSE,0,NA,2017-12-17 23:59:59,FALSE,NA,"942544937605849089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mgr_leon",20,TRUE,FALSE,NA,NA
"5","RT @LouWaldo: Giveaway prize for @squiiiddo ‚ú®
[ #Splatoon ] https://t.co/hRFxbJdWKI",FALSE,0,NA,2017-12-17 23:59:08,FALSE,NA,"942544723843145728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sauteedbasil",20,TRUE,FALSE,NA,NA
"6","RT @FancyNightSFM: Made these over the weekend once I found out my dad had sfm and worked fine with particles and stuff.
#Splatoon #Splatoo‚Ä¶",FALSE,0,NA,2017-12-17 23:35:40,FALSE,NA,"942538818246324229",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prim3Darkness",3,TRUE,FALSE,NA,NA
"7","RT @PrismSeung: Squid Sisters for Mario Kart! #splatoon #mariokart #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥ #squidsisters https://t.co/JqwECUI1sQ",FALSE,0,NA,2017-12-17 23:33:47,FALSE,NA,"942538344625401858",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Airship804",5,TRUE,FALSE,NA,NA
"8","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-17 23:32:07,FALSE,NA,"942537926856134656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FateZer20812819",397,TRUE,FALSE,NA,NA
"9","RT @PrismSeung: Squid Sisters for Mario Kart! #splatoon #mariokart #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥ #squidsisters https://t.co/JqwECUI1sQ",FALSE,0,NA,2017-12-17 23:19:57,FALSE,NA,"942534864284409861",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mr_Chip2",5,TRUE,FALSE,NA,NA
"10","RT @PrismSeung: Squid Sisters for Mario Kart! #splatoon #mariokart #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥ #squidsisters https://t.co/JqwECUI1sQ",FALSE,0,NA,2017-12-17 23:12:09,FALSE,NA,"942532898317635590",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Statisky",5,TRUE,FALSE,NA,NA
